"SRR5687512.SUM44_Y537S_mut","SRR5687513.SUM44_Y537S_mut","SRR5687514.SUM44_Y537S_mut"
0.086254,0.028128,0.063762
0,0,0.0135118094364351
0.027061,0.044731,0
0.482895,0.356665,0.427533
0.00269818637274549,0,0
0,0.0102366371180687,0
0.0434373188405797,0,0.039565839836492
0,0.003779,0
0,0,0.00972455475723928
0,0.000295777777777778,0
0,0.0136379854510184,0
0.0218762086234601,0.00941413202999464,0.0164900889126942
0.002958,0,0
0.019812,0,0.042366
0,0,0
0,0,0
0.017382,0.028896,0.009578
0.005632,0,0.010135
0.045956,0,0.014083
0.0153890806256132,0.0163249725861372,0.0155367778611416
0.0138992502325581,0.0144121011627907,0.0100779069767442
0,0,0.015107
0,0,0.005288
