"gene.name","SRR3396381.amphotericin_B","SRR3396382.amphotericin_B","SRR3396384.amphotericin_B","SRR3396385.control","SRR3396386.control","SRR3396387.control","amphotericin_B.average","control.average","amphotericin_B.control.average","baseMean","log2FC","lfcSE","stat","pval","padj"
"YDR261W-A",1700.39459836266,1510.46193716165,1510.26049010098,1823.5945272943,1858.50724244505,1909.94843368292,1573.70567520843,1864.01673447409,1718.86120484126,1718.86120484126,-0.245054189716368,0.0868225267790376,-2.82247244819341,0.00476549165198687,0.0167771418432962
"YOR331C",2069.44575865638,2554.09017170616,2887.7091280574,1712.70707676783,2336.30348528149,3027.18029637461,2503.74835280665,2358.73028614131,2431.23931947398,2431.23931947398,0.0862746713587173,0.186183937092975,0.46338407440398,0.643089091854044,0.775394475825405
"YAL034C-B",50.586451878267,35.987180501535,36.0489312963802,41.3307770144091,69.3128011851708,42.0305950093989,40.8741878920607,50.8913910696596,45.8827894808602,45.8827894808602,-0.323736550840777,0.363704499475872,-0.890108731971445,0.373407504744957,0.537455854682692
"FUN12",8653.73234744809,7613.28796388029,9212.39925839863,10190.556703382,12088.1525266938,11219.2365004158,8493.13985657567,11165.9819101639,9829.56088336977,9829.56088336977,-0.39477089624079,0.10009611024724,-3.94391845263214,8.0160926422165e-05,0.000483263830098525
"YAL042C-A",236.836570157341,246.912043996643,225.78014864575,268.14601672763,261.540303138711,255.115937150072,236.509587599911,261.600752338804,249.055169969358,249.055169969358,-0.145719013879012,0.143237609855512,-1.01732369051677,0.308999470247383,0.468666081758818
"PTA1",2587.95689040861,2426.13575214515,2512.9899737924,2222.78934918956,2242.96224635213,2271.60704190332,2509.02753878205,2245.78621248167,2377.40687563186,2377.40687563186,0.159656626711719,0.0719160384681833,2.22004201166272,0.0264159159317075,0.0684466171210299
"CDC19",116292.504407695,120547.058241114,110436.849682547,122247.365799034,131594.511818118,141225.731598674,115758.804110452,131689.203071942,123724.003591197,123724.003591197,-0.186019709590581,0.0793609690041274,-2.34396973631845,0.0190797194917431,0.0520621995883623
"ERV46",7263.75461288389,8061.12843234383,7505.76695834105,8010.1061989389,7605.92471671941,8051.30258354461,7610.21666785626,7889.11116640097,7749.66391712862,7749.66391712862,-0.0517863718447272,0.0728256856437737,-0.711100367774632,0.477022042107884,0.638401303122389
"YAL037C-A",24.1435338509911,19.9928780564083,13.2811852144559,22.1774901052927,13.8625602370342,21.5040253536459,19.1391990406184,19.1813585653243,19.1602788029713,19.1602788029713,-0.00782013889944111,0.508635675843047,-0.0153747353377827,0.98773321932481,0.992242350441991
"YAL037C-B",13542.2231062297,13627.1456832479,9314.85411576729,14013.1495433488,12247.1098840784,12407.8226290537,12161.4076350816,12889.3606854936,12525.3841602876,12525.3841602876,-0.08393774919192,0.139873299807628,-0.600098441284805,0.548440631321645,0.701110821801934
