"SRR3396385.control","SRR3396386.control","SRR3396387.control"
130.467163,123.561905,129.656174
5.385259,5.225794,5.965208
57.629951,62.550087,67.559578
52.339462,57.114056,56.99229
73.251457,72.154083,80.10405
62.845478,64.299095,65.733482
72.088264,57.075024,53.092606
35.869431,37.701717,38.409298
2.319067,3.86422,3.173834
13.992376,15.252808,15.981156
69.415169,71.707581,66.068634
22.551624,24.356487,23.242796
72.868195,73.020226,71.794037
118.382729,119.783829,107.364151
129.45813,131.350647,115.890388
8.12937,7.869035,8.008237
158.351257,176.437531,188.112915
54.384647,59.960571,40.536327
68.621277,74.808563,66.714973
14.185821,15.513945,12.64202
115.723289,100.301994,101.424469
42.097481,43.101883,37.53968
418.198303,375.477631,384.466949
57.190845,55.496849,50.873985
39.904545,42.889389,43.000164
32.612164,31.705381,30.194067
1.315796,1.609526,1.905436
33.814896,34.672798,32.969635
112.908379,94.918663,83.724785
92.377266,107.717087,96.787834
40.451519,49.073761,40.309528
27.941437,29.16564,27.480314
47.681725,51.078186,42.126095
111.268692,122.012978,110.405457
98.360245,104.242111,106.529533
79.20507,78.883133,76.678131
15.177526,15.748297,15.446486
62.609276,64.554413,58.660023
23.786537,25.111061,22.753609
0,0.255224,0
30.058481,27.075924,31.622999
51.510292,52.05434,45.519741
469.880493,430.0784,475.937988
197.944687,126.628502,103.849098
92.440598,93.020088,93.27581
3.082461,4.22025,2.927854
16.979635,18.126827,16.894108
41.093609,38.831116,43.00219
18.577108,22.52813,23.153437
5.416656,8.390222,7.427525
95.775208,108.804466,86.70356
29.785713,30.80261,32.551704
22.139227,24.499441,22.30064
622.316101,494.597626,473.491119
43.524357,43.569542,45.888439
28.511257,30.293753,27.11669
76.113571,90.603706,66.091118
23.8450540766749,26.0557292321124,24.1587217840197
66.199814,83.357803,89.967445
186.756424,167.786469,182.117798
9.949765,10.292247,7.915872
46.371876,40.90147,40.109695
43.576763,34.220852,33.403324
226.390976,229.49855,240.319275
161.72374,162.483002,163.025879
211.933868,161.484497,159.229019
2.782447,1.344138,0.861474
272.271423,173.380981,124.91465
48.549377,43.310493,45.060814
36.801888,35.5858,35.634438
375.506897,288.390442,268.751465
549.928284,427.805664,402.808289
28.237656,28.037064,26.99254
125.277908,92.803192,84.962502
20.920488,22.593605,23.319323
19.617085,20.166079,22.42967
72.467766,86.509476,69.019379
133.931824,181.228668,182.093765
3131.096436,3446.679932,3095.861816
41.935608,47.027382,35.924622
703.798279,836.446167,718.60022
39.089268,36.904488,37.966606
8.06146,9.12027,9.228801
5.443689,8.767957,9.745843
28.542307,24.505974,23.901464
33.497723,31.885967,32.065933
31.3266727141773,33.5011296399696,29.9593416690074
12.699387,12.373107,11.368258
41.978981,36.627846,38.088211
53.720329,60.026871,50.354836
17.675514,21.103533,19.985149
566.347717,357.992096,230.697098
5.905783,2.332671,3.326968
8.65751957866014,8.45953973560406,8.90048846687994
105.372238,119.514244,103.528419
67.345299,70.028893,72.604187
474.673615,270.115692,254.334244
17.492367,16.912928,19.800596
41.099407,45.951424,36.028896
19.626726,18.300163,17.158049
25.590412,28.35969,24.753586
320.707611,236.325897,200.662338
485.600098,357.180054,320.824036
60.589798,65.831535,67.728378
