"t_id","g_id"
927,"MSTRG.281"
928,"MSTRG.282"
929,"MSTRG.283"
930,"MSTRG.284"
931,"MSTRG.285"
932,"MSTRG.285"
933,"MSTRG.285"
934,"MSTRG.285"
935,"MSTRG.285"
936,"MSTRG.285"
937,"MSTRG.285"
938,"MSTRG.286"
939,"MSTRG.286"
940,"MSTRG.287"
941,"MSTRG.288"
942,"MSTRG.288"
943,"MSTRG.288"
944,"RNU5E-1"
945,"KIAA2013"
946,"PLOD1"
947,"MSTRG.265"
948,"MSTRG.266"
949,"MSTRG.266"
950,"MSTRG.266"
951,"MSTRG.266"
952,"MSTRG.266"
953,"MSTRG.266"
954,"MSTRG.266"
955,"MSTRG.266"
956,"MSTRG.267"
957,"MSTRG.268"
958,"MSTRG.269"
959,"MSTRG.293"
960,"MSTRG.293"
961,"MSTRG.294"
962,"MSTRG.294"
963,"MSTRG.295"
964,"MSTRG.295"
965,"MSTRG.296"
966,"MIR7846"
967,"TNFRSF1B"
968,"MIR4632"
969,"MSTRG.289"
970,"MSTRG.289"
971,"MSTRG.289"
972,"MSTRG.289"
973,"MSTRG.289"
974,"MSTRG.289"
975,"MSTRG.290"
976,"MSTRG.291"
977,"MSTRG.292"
978,"MSTRG.304"
979,"MSTRG.304"
980,"MSTRG.305"
981,"AADACL3"
982,"AADACL3"
983,"C1orf158"
984,"PRAMEF12"
985,"PRAMEF1"
986,"PRAMEF1"
987,"PRAMEF11"
988,"HNRNPCL1"
989,"PRAMEF2"
990,"PRAMEF4"
991,"PRAMEF10"
992,"PRAMEF7"
993,"PRAMEF6"
994,"LOC101929983"
995,"HNRNPCL3"
996,"HNRNPCL4"
997,"PRAMEF26"
998,"PRAMEF25"
999,"LOC645354"
1000,"LOC649324"
1001,"HNRNPCL2"
1002,"LOC645354"
1003,"LOC649324"
1004,"PRAMEF25"
1005,"PRAMEF26"
1006,"HNRNPCL4"
1007,"HNRNPCL3"
1008,"PRAMEF9"
1009,"LOC101929983"
1010,"LOC400736"
1011,"LOC391003"
1012,"PRAMEF22"
1013,"PRAMEF5"
1014,"PRAMEF8"
1015,"LOC645382"
1016,"PRAMEF15"
1017,"PRAMEF14"
1018,"PRAMEF19"
1019,"PRAMEF16"
1020,"PRAMEF17"
1021,"PRAMEF20"
1022,"LRRC38"
1023,"PDPN"
1024,"PDPN"
1025,"PDPN"
1026,"PDPN"
1027,"PRDM2"
1028,"PRDM2"
1029,"PRDM2"
1030,"PRDM2"
1031,"MSTRG.307"
1032,"MSTRG.307"
1033,"MSTRG.303"
1034,"MSTRG.303"
1035,"MSTRG.303"
1036,"MSTRG.303"
1037,"MSTRG.303"
1038,"MSTRG.303"
1039,"MSTRG.303"
1040,"MSTRG.303"
1041,"MSTRG.297"
1042,"MSTRG.298"
1043,"MSTRG.298"
1044,"MSTRG.298"
1045,"MSTRG.298"
1046,"MSTRG.298"
1047,"MSTRG.299"
1048,"MSTRG.300"
1049,"MSTRG.300"
1050,"MSTRG.300"
1051,"MSTRG.300"
1052,"MSTRG.301"
1053,"MSTRG.301"
1054,"MSTRG.297"
1055,"MSTRG.297"
1056,"MSTRG.297"
1057,"MSTRG.297"
1058,"MSTRG.297"
1059,"MSTRG.302"
1060,"MSTRG.306"
1061,"MSTRG.306"
1062,"CELA2A"
1063,"MSTRG.308"
1064,"MSTRG.309"
1065,"MSTRG.309"
1066,"MSTRG.309"
1067,"MSTRG.309"
1068,"MSTRG.309"
1069,"MSTRG.309"
1070,"MSTRG.310"
1071,"MSTRG.310"
1072,"MSTRG.310"
1073,"MSTRG.310"
1074,"MSTRG.310"
1075,"MSTRG.309"
1076,"MSTRG.309"
1077,"MSTRG.309"
1078,"MSTRG.311"
1079,"MSTRG.312"
1080,"MSTRG.312"
1081,"PLEKHM2"
1082,"MSTRG.313"
1083,"MSTRG.313"
1084,"MSTRG.314"
1085,"FBLIM1"
1086,"FBLIM1"
1087,"FBLIM1"
1088,"UQCRHL"
1089,"MSTRG.315"
1090,"MSTRG.315"
1091,"MSTRG.316"
1092,"MSTRG.317"
1093,"MSTRG.317"
1094,"MSTRG.318"
1095,"MSTRG.319"
1096,"MSTRG.316"
1097,"MSTRG.320"
1098,"MSTRG.320"
1099,"MSTRG.320"
1100,"MSTRG.320"
1101,"MSTRG.321"
1102,"C1orf64"
1103,"MSTRG.326"
1104,"MSTRG.326"
1105,"MSTRG.326"
1106,"MSTRG.326"
1107,"MSTRG.327"
1108,"MSTRG.328"
1109,"MSTRG.328"
1110,"MSTRG.328"
1111,"MSTRG.326"
1112,"MSTRG.326"
1113,"MSTRG.329"
1114,"MSTRG.329"
1115,"MSTRG.330"
1116,"MSTRG.331"
1117,"MSTRG.331"
1118,"MSTRG.331"
1119,"MSTRG.331"
1120,"MSTRG.331"
1121,"MSTRG.331"
1122,"MSTRG.332"
1123,"MSTRG.331"
1124,"MSTRG.331"
1125,"MSTRG.331"
1126,"MSTRG.331"
1127,"MSTRG.331"
1128,"MSTRG.331"
1129,"MSTRG.331"
1130,"MSTRG.331"
1131,"MSTRG.333"
1132,"MSTRG.333"
1133,"MSTRG.322"
1134,"MSTRG.322"
1135,"MSTRG.322"
1136,"MSTRG.322"
1137,"MSTRG.323"
1138,"MSTRG.323"
1139,"MSTRG.323"
1140,"MSTRG.323"
1141,"MSTRG.324"
1142,"MSTRG.325"
1143,"MSTRG.337"
1144,"MSTRG.337"
1145,"MSTRG.338"
1146,"MSTRG.339"
1147,"MSTRG.340"
1148,"MSTRG.340"
1149,"MSTRG.337"
1150,"MSTRG.337"
1151,"MSTRG.337"
1152,"MSTRG.341"
1153,"MSTRG.342"
1154,"MSTRG.342"
1155,"MSTRG.334"
1156,"MSTRG.334"
1157,"MSTRG.334"
1158,"MSTRG.334"
1159,"MSTRG.334"
1160,"MSTRG.334"
1161,"MSTRG.335"
1162,"MSTRG.336"
1163,"MSTRG.343"
1164,"MSTRG.343"
1165,"MSTRG.343"
