"gene.name","SRR3396381.amphotericin_B","SRR3396382.amphotericin_B","SRR3396384.amphotericin_B","SRR3396385.control","SRR3396386.control","SRR3396387.control","amphotericin_B.average","control.average","amphotericin_B.control.average","log2FC","logCPM","pval"
"EFM3",3.58524440236496,2.24621669534007,4.61611848185971,10.8969398516735,13.6178186565803,9.70129176316307,3.48252652652158,11.4053500904723,7.44393830849694,1.70890263538616,2.92135588557674,1.70152148971015e-09
"snR3",1.16141720076611,0.792782363061201,1.33077289567127,3.13231874278873,2.92681475604114,4.80771981183302,1.09499081983286,3.62228443688763,2.35863762836025,1.71955937368891,1.30190585451281,2.06504483401973e-07
"STR2",184.059378121412,210.527760857363,202.69334667193,92.6019301565289,79.9996033317913,95.2958748416903,199.093495216902,89.2991361100035,144.196315663453,-1.15700839410775,7.17246540318605,5.22223944670764e-26
"SPO24",562.933867571332,558.030696665856,495.712903637548,185.203860313058,170.324358719617,187.71570301023,538.892489291579,181.081307347635,359.986898319607,-1.57332988667188,8.49192108861872,3.26407867279422e-45
"GGC1",461.032132304114,442.37255858815,443.895934012348,158.204155093527,152.804120388315,191.493197148099,449.100208301537,167.500490876647,308.300349589092,-1.42285998455513,8.26837589612259,3.75019275468941e-34
"tQ(UUG)D1",0.201985600133237,0.132130393843533,0.0831733059794543,0,0,0,0.139096433318742,0,0.0695482166593708,-4.69269979397347,-2.70533215123742,0.00602059399231162
"CGR1",25.6521712169211,24.1798620733666,30.6909499064186,70.0580586415283,65.2435789367505,39.878318796365,26.8409943989021,58.3933187915479,42.617156595225,1.12079634978372,5.41761233491835,8.85999257570576e-09
"ENA5",1829.53506960683,1890.47763164866,1834.05457015295,768.873958441156,747.801170168512,855.087309390302,1851.35575713615,790.587479333323,1320.97161823473,-1.22758710346083,10.3674365948819,1.85717400959218e-27
"FAL1",10.5537476069616,7.79569323676847,11.1036363482571,22.0585826956953,24.8779254263497,17.2562800389007,9.81769239732909,21.3975960536486,15.6076442254888,1.1240091876173,3.97529943075088,2.19547295545048e-07
"ENO1",991.345325453928,1202.34254051154,820.546250140306,2348.75376827224,2112.46920037764,2452.96732970881,1004.74470536859,2304.7300994529,1654.73740241074,1.19777344427291,10.6924907970968,6.23226849739826e-17
"YDL114W",0.555460400366402,0.308304252301578,0.457453182886999,0.176468661565562,0.203251024725079,0.128778209245527,0.440405945184993,0.169499298512056,0.304952621848525,-1.33568400119434,-1.36912197038474,0.0240333706090579
"DAL1",26.611602817554,20.9206456918928,28.4868572979631,9.35283906297481,11.3414071796594,9.35788320517499,25.3397019358033,10.0173764826031,17.6785392092032,-1.33775700384342,4.14832899700982,7.95217638195007e-12
"UTP23",25.3491928167213,18.9386897842398,30.9820564773467,58.6758299705495,62.2354637708193,40.3505055635986,25.0899796927693,53.7539331016558,39.4219563972125,1.0988370651436,5.30558034799461,6.2921129940166e-08
"snR34",1.00992800066619,2.15812976611105,1.20601293670209,2.86761575044039,2.47966250164597,3.77749413786881,1.45802356782644,3.04159079665172,2.24980718223908,1.05191170069962,1.23436815782451,0.0020206828449762
"PYC2",921.609797007928,799.168665430305,843.335735978677,327.878773188815,383.290782426555,416.125320142048,854.704732805637,375.764958585806,615.234845695721,-1.1855317478619,9.26509274046049,6.88982762086859e-22
"ARG4",2455.7409264199,2522.5013488669,2432.73602659306,369.745963145245,355.486042244164,499.616525802898,2470.32610062662,408.282843730769,1439.30447217869,-2.59706052060983,10.4911729810576,2.29654518910475e-72
"MRD1",38.5792496254483,25.1928617595004,43.4996390272546,81.660873139464,92.1946648152961,59.2809023226911,35.7572501374011,77.7121467591504,56.7346984482758,1.11985483269035,5.82939136242357,1.489442231282e-08
"RGS2",31.5602500208183,27.7914261717565,30.7741232123981,17.8233348181218,11.7479092291096,13.993898738014,30.041933134991,14.5217142617485,22.2818236983697,-1.04922929067315,4.48101024617785,1.85966550127894e-08
"TRP3",383.217179852784,368.115277248084,390.665018185497,170.645195733899,171.503214663022,181.148014338709,380.665825095455,174.432141578543,277.548983336999,-1.12584278974336,8.11686807998373,1.25919075078396e-27
