"gene.name","SRR975555.primary_colorectal_cancer","SRR975556.primary_colorectal_cancer","SRR975558.primary_colorectal_cancer","SRR975559.primary_colorectal_cancer","SRR975560.primary_colorectal_cancer","SRR975562.primary_colorectal_cancer","SRR975564.primary_colorectal_cancer","SRR975565.primary_colorectal_cancer","SRR975567.primary_colorectal_cancer","SRR975568.primary_colorectal_cancer","SRR975569.normal_colon","SRR975572.normal_colon","SRR975574.normal_colon","SRR975575.normal_colon","SRR975576.normal_colon","SRR975577.normal_colon","SRR975580.normal_colon","SRR975582.normal_colon","SRR975585.normal_colon","SRR975586.normal_colon","primary_colorectal_cancer.average","normal_colon.average","primary_colorectal_cancer.normal_colon.average","fc","log2FC","pval","qval"
"SAG",0.105207756438856,1.6299320730075,1.93728965098357,0.00884225349827621,1.65846469904685,0.441179752788481,0.697135218616913,0.0796520786858649,1.28658983228554,0.0512124826607179,4.45010882640438,4.57745020401541,2.09496903954573,5.22833099411884,4.40450123200162,5.50239704988846,5.03221903812614,3.90787543987021,7.95477163922125,17.9486970622592,0.789550579801257,6.11013205254512,3.44984131617319,3.64878540303289,1.8674163038179,1.2014638321789e-05,0.00179277917125268
"LOC643387",5.899532,4.975127,25.511328,41.498501,27.173052,43.097256,17.799847,12.374929,24.782495,5.576924,3.554283,3.010111,2.851837,2.626143,3.361243,4.340506,8.722158,3.061867,3.17211,35.884239,20.8688991,7.0584497,13.9636744,0.310347835150756,-1.68804201253575,0.00409181924748525,0.035790915634462
"CENPB",15.396206,3.089692,8.452647,28.541262,6.509644,13.490612,11.255986,5.654427,5.703741,9.891742,2.700893,3.200721,4.493613,3.268779,3.313288,3.33027,7.037786,3.736566,3.037544,6.610014,10.7985959,4.0729474,7.43577165,0.466354967914394,-1.10049960888578,0.00202198806463993,0.0232968833397171
"BPIFB1",13.4026203578785,11.3026826376588,11.2577485715757,6.66437914057673,15.0780394752832,9.63482616529351,4.47380484689324,4.42755797442499,11.2864962808102,3.15621987967731,24.8334135046344,22.6148185847923,31.8556162583248,32.3637977672503,23.0633092523172,26.1069223525575,37.9445719140062,32.0278994713354,21.5270580590457,20.3930286958462,9.06843753300721,27.273043586011,18.1707405595091,2.8739429846871,1.5230314408749,9.4981755945911e-06,0.00172883266646288
"OSBPL2",24.7929538761992,1.73351834170854,3.40102316742805,4.23564443787117,2.34365992287194,4.1791433867824,11.0790090176641,4.79967494738846,2.89721420907568,15.9591963780265,1.07418681521243,1.44809949345211,2.72097637711284,1.79584459722857,1.43633047769149,2.14361959920816,3.88148678521395,1.88889553631795,1.25458357956449,2.93173562973961,7.5421037685016,2.05757588907416,4.79983982878788,0.4270090954997,-1.22766129461406,0.00483373522816499,0.0394734150932799
"SLC37A1",16.7435315354262,9.74729017811205,8.91777863178548,8.25702781011554,4.8029099187559,11.4731464158128,22.2255947386091,8.29573414294019,5.36288286984958,15.3079939984013,3.98824460518858,2.45884367800305,3.96513740047962,2.35529645098467,2.47030287282901,3.14589870016714,6.97447213654531,2.8404988106969,3.55939558658528,5.69850975067219,11.1133890239808,3.74565999921517,7.42952451159799,0.384407444114965,-1.37929182047248,3.21645302917561e-05,0.00263074975764092
"TRAPPC10",0.433421721373419,2.90608497256448,2.08747882314769,1.74899136528668,2.92618262658124,2.47914178815508,0.337560056760309,1.8253516498275,3.1366421865451,0.535992210037785,4.48969677328733,3.96890199950715,3.5967198915722,3.93664801306062,5.63657355404961,5.95764307934943,4.6196907545589,10.7209116133563,11.3570709308362,7.17025853753902,1.84168474002793,6.14541151471168,3.9935481273698,2.56711334150464,1.36014699424479,0.000134637753623101,0.00515767423824555
"SLC6A6",7.61189248260489,1.13482188424488,6.1432406592628,18.9171446880822,5.00529056906297,9.37137994172438,2.47798413279198,6.46439002053977,19.7248328222275,6.92260975774222,1.24845477048006,1.5582692049996,1.50919261746676,1.32433335307698,0.955210637528859,1.20287596592628,2.16768713637449,1.52957974142186,1.20635382581005,2.17324301727569,8.37735869582836,1.48752002703606,4.93243936143221,0.355388257762906,-1.49253208022613,0.000283422821907631,0.00774352860571086
"TRANK1",1.07383444456828,1.54594434757438,2.16584019389493,1.21032326104455,1.85196071115445,0.857270010556949,0.61316966555215,0.35332490656636,2.16557535351847,0.6542390364385,4.11656588381165,3.73101561830903,4.58654656369772,3.91169976010031,2.32081075647813,3.87883667629485,2.99603365220891,3.23321561233398,3.72411546063589,1.25414112145135,1.2491481930869,3.37529811053218,2.31222315180954,2.07778585951021,1.05504697505923,2.59842871401794e-05,0.00245935616059607
"UQCRC1",1.23579242088395,0.760360916971007,4.17956924528583,4.79856561899083,4.88417846142953,5.66973124722367,8.25229280502348,6.21493265059253,2.72644362428263,1.20669315674145,0.604058545725572,0.882055538645003,1.01897062935082,0.803746306774987,1.0706091600954,1.01160630826563,2.10151450510546,0.703444788179176,0.688569891108295,1.67800678482522,3.99285601474249,1.05625824580756,2.52455713027502,0.456759846851552,-1.13049226400773,0.00152270165570134,0.0196188021425448
