"gene.name","SRR5687512.SUM44_Y537S_mut","SRR5687513.SUM44_Y537S_mut","SRR5687514.SUM44_Y537S_mut","SRR5687509.SUM44_normal","SRR5687510.SUM44_normal","SRR5687511.SUM44_normal","SUM44_Y537S_mut.average","SUM44_normal.average","SUM44_Y537S_mut.SUM44_normal.average","fc","log2FC","pval","qval"
".",2.853719,4.631874,3.39928,1.283164,1.859922,1.689304,3.628291,1.61079666666667,2.61954383333333,0.457660229230457,-1.12765116800223,0.0242828441980771,0.162605266382393
".",4.0899690495283,3.74381373820755,5.26579074056604,0,0,0,4.36652450943396,0,2.18326225471698,0.219964239260726,-2.18465909856815,0.000730309969632192,0.0655557982304347
".",6.572355,7.749502,7.028393,19.305372,19.331083,19.136301,7.11675,19.2575853333333,13.1871676666667,2.28523105881598,1.19234004298798,0.000323925032863048,0.0541200431238541
".",1.39321144554455,1.49845529306931,1.50791868976898,7.91116725808581,8.65615354719472,8.51108134257426,1.46652847612761,8.35946738261826,4.91299792937294,3.78709740223199,1.92109252708713,0.000147579841441869,0.0476358116135114
".",1.507578,0.762522175180289,1.7223435617488,2.18943013371394,2.47740409900841,2.29502448677885,1.33081457897636,2.32061957316707,1.82571707607171,2.0041426693454,1.00298521363828,0.0047609309717046,0.10249735043891
".",3.834687,3.870262,3.696233,1.161025,1.061024,1.145663,3.800394,1.12257066666667,2.46148233333333,0.434345537305205,-1.20308488029398,0.000125770310829942,0.0476358116135114
".",1.542439,1.500429,1.438599,4.406003,3.568213,4.166368,1.49382233333333,4.04686133333333,2.77034183333333,2.01134701869567,1.00816201200668,0.00553726316908576,0.108730204165204
".",2.533517,2.829023,2.706895,10.334048,9.339097,9.581884,2.68981166666667,9.75167633333333,6.220744,2.76834639342666,1.46902447361488,0.000375638484507945,0.0552032998491233
".",2.32416003067933,2.61715731141953,2.53857604285366,0.638702190893596,0.707293532261992,0.72042454954955,2.49329779498417,0.688806757568379,1.59105227627628,0.470265812118396,-1.08845164144984,0.000686133864733929,0.0649953498251228
".",6.42344431575221,0.798480305840708,6.63766693946903,5.20105253946903,5.22677207079646,5.62646846725664,4.61986385368732,5.35143102584071,4.98564743976401,4.38771566143366,2.13347003733388,0.0111615797473132,0.116810366545193
