"gene.name","SRR5687512.SUM44_Y537S_mut","SRR5687513.SUM44_Y537S_mut","SRR5687514.SUM44_Y537S_mut","SRR5687509.SUM44_normal","SRR5687510.SUM44_normal","SRR5687511.SUM44_normal","SUM44_Y537S_mut.average","SUM44_normal.average","SUM44_Y537S_mut.SUM44_normal.average","log2FC","logCPM","pval"
"RAB23",0.404541426386036,0.322563914890126,0.537638563638937,0.126193017285793,0.140269917117844,0.165422031655559,0.421581301638366,0.143961655353065,0.282771478495716,-1.54158947602912,-1.74219271138154,0.00792157697947743
"PRR23A",0.0189628793618454,0.0496252176754039,0.0209469570248937,0,0,0,0.0298450180207143,0,0.0149225090103572,-5.11377458240468,-5.04666048913904,0.0214443044217281
"SUN5",0.0442467185109727,0.0682346743036804,0.0279292760331915,0,0,0,0.0468035562826149,0,0.0234017781413074,-5.74785684353027,-4.67205309132593,0.00314383091517581
"RNF44",0.271801270853118,0.235719783958169,0.188522613224043,0.067302942552423,0,0.0676726493136377,0.232014556011776,0.0449918639553536,0.138503209983565,-2.34735476582469,-2.68639557458064,0.00648902803545056
"GGPS1",1.03663740511422,0.918066526994973,1.19397655041894,0.504772069143173,0.397431431833891,0.496266094966677,1.04956016084271,0.466156531981247,0.757858346411978,-1.16926116992323,-0.36985671298579,0.0139516712342112
"SYT15",0.126419195745636,0.0930472831413824,0.0977524661161704,0,0,0.0601534660565669,0.105739648334396,0.020051155352189,0.0628954018432926,-2.32543788281344,-3.65943872660037,0.0483119906474094
"CCDC144B",2.26290360384689,1.53838174793752,1.44534003471766,4.22325964516455,2.94566825947472,4.15810834116018,1.74887512883402,3.77567874859982,2.76227693871692,1.10965622706428,1.47223340766875,0.00980675542937545
"FUT10",5.51187693450974,5.20444470370799,4.65022445952639,2.11162982258227,1.23125816136774,1.84219989798236,5.12218203258137,1.72836262731079,3.42527232994608,-1.5671814068253,1.78336160075833,0.000193627493449717
"LIMD1-AS1",0,0.0930472831413824,0.0488762330580852,0,0,0,0.0473078387331559,0,0.0236539193665779,-5.75980092343257,-4.66809132496214,0.0208083612149732
"SOD3",0.240196471916709,0.0992504353508079,0.104734785124468,0.0504772069143173,0.0467566390392812,0.0225575497712126,0.148060564130662,0.0399304652416037,0.0939955146861327,-1.87509628999795,-3.18249040037708,0.022549491459443
"CDK15",0.0568886380855363,0.0620315220942549,0.118699423141064,0,0.0233783195196406,0.0150383665141417,0.0792065277736184,0.0128055620112608,0.0460060448924396,-2.52472543264002,-4.02200783344655,0.0175354210605011
"SAMD9",0.0632095978728181,0.0186094566282765,0.0698231900829789,0,0,0,0.0505474148613578,0,0.0252737074306789,-5.84965782995433,-4.61855706407412,0.00347963287026956
"TMEM173",0.0821724772346635,0.0992504353508079,0.111717104132766,0.0504772069143173,0,0,0.0977133389060792,0.0168257356381058,0.0572695372720925,-2.51073603401242,-3.77768382367129,0.0406281328185367
"PPCS",0.113777276171073,0.0434220654659784,0.118699423141064,0.0252386034571586,0.0311710926928542,0,0.0919662549260384,0.0188032320500043,0.0553847434880213,-2.24758353288034,-3.8186606728745,0.0358945490297118
"FOXJ3",0.2085916729803,0.136469348607361,0.0977524661161704,0.0504772069143173,0.0155855463464271,0.0751918325707086,0.147604495901277,0.0470848619438176,0.0973446789225473,-1.62945839834777,-3.13883883081329,0.0459287126708667
"CCL5",0.259159351278554,0.285345001633573,0.279292760331915,4.02976368532633,0.210404875676766,0.278209780511622,0.274599037748014,1.50612611383824,0.890362575793127,2.45088401055223,-0.154603861881181,0.00816043829291203
"GPHN",0.0695305576600999,0.254329240586445,0.139646380165958,0.0336514712762115,0.0545494122124948,0.0300767330282834,0.154502059470834,0.0394258721723299,0.0969639658215821,-1.94711755383734,-3.14205739865362,0.02057039419733
