"SRR975569.normal_colon","SRR975572.normal_colon","SRR975574.normal_colon","SRR975575.normal_colon","SRR975576.normal_colon","SRR975577.normal_colon","SRR975580.normal_colon","SRR975582.normal_colon","SRR975585.normal_colon","SRR975586.normal_colon"
0,0,0,0,0,0,0,0,0,0.00789965045533811
0,0,0,0,0,0,0,0.005693,0,0
0,0.015688,0,0,0,0,0.041603,0.052009,0,0.053944
0,0,0,0,0,0,0,0,0,0
0.0138197002989537,0,0,0,0,0,0.0419261233183857,0,0,0
0,0,0,0.00146534024266936,0,0,0,0,0,0
0,0,0,0.033524,0,0,0,0,0,0
0.00186252998572109,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.053724,0.063604,0.084349,0.112031,0.06052,0.087225,0.044688,0.079476,0.055304,0.071463
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.00647132388451444,0,0,0,0,0.00690306351706037,0,0.00702073840769904,0,0
0,0.030615,0.039634,0.025624,0,0,0.027588,0.045357,0,0.051316
0,0.023176,0,0.028056,0.0406,0.031437,0,0.023028,0.042149,0
0,0,0,0,0,0,0,0,0,0
0.138973,0.135814,0.100398,0.130488,0.120314,0.047327,0.062471,0.119867,0.096988,0.085675
0,0,0,0,0.012788,0,0,0,0,0
0.113445,0.068926,0,0.091182,0.034745,0.018523,0.054192,0.105192,0.103248,0.0864
0,0,0,0,0,0,0,0,0,0
0,0,0.008243,0,0,0,0,0,0,0
0,0.0204666294964029,0,0,0,0,0,0,0,0
0,0,0,0,0.009218,0,0,0,0,0
0,0,0,0,0,0.009954,0,0,0,0
0,0.005631,0,0,0,0.003433,0.00547,0,0,0
0,0,0,0,0,0,0,0,0,0.015787
0,0,0.111022,0,0,0,0.125216,0,0,0
0,0.0271504863905325,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0.001924,0,0,0,0,0,0,0,0
0,0,0.010155,0,0,0,0,0,0,0
0,0,0,0.009827,0,0,0,0,0,0
0,0,0,0,0,0,0.0102784776240846,0.0217119039869813,0,0
0,0,0,0,0.025456,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0.019035,0,0,0,0.052843,0,0,0
0.040955446290144,0.091845430786268,0,0.0472974174972315,0.0206483632336656,0,0.041761196013289,0.0443262724252492,0,0
0,0.042658,0,0,0.024218,0,0,0.047283,0,0
0,0,0.008785,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.0493280473444613,0.0265687878603945,0,0.0259863186646434,0.0549259459787557,0.0260502603945372,0,0.0412374203338391,0.0364837523520486,0.0267636103186646
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.152226996381182,0.109303709288299,0.0918567837756333,0.0745434770808203,0.064827103437877,0.0729418094089264,0.137483214716526,0.081859107358263,0.0986054131483715,0.128332962907117
0,0,0,0,0,0,0.016274,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0.037583,0.018319,0,0,0.018156,0,0,0,0
0.059145,0,0.011527,0.04732,0.029312,0,0,0.023356,0.038226,0.038478
0,0,0,0,0.00956137004294014,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.01231,0,0,0,0,0.013129
0,0.0272278592592593,0,0.0335289407407407,0,0,0,0.022508162962963,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.0104936196660482,0,0,0
0,0,0,0,0,0,0,0,0,0
0.0256199370496777,0,0.0281447724687144,0.0381783860447478,0.0462559313613955,0.0127170728100114,0,0,0.0415655741372772,0.0275094008342814
0,0,0,0,0,0.01572,0,0,0,0
0,0,0,0,0,0,0.0131305,0,0,0
0,0,0.104081,0.052303,0.065448,0.044713,0,0,0.028216,0.030354
0.036567,0.059778,0,0,0.049611,0.06643,0.044395,0,0.025152,0
