"t_id","g_id"
528,"MSTRG.120"
529,"MSTRG.120"
530,"MSTRG.120"
531,"MSTRG.120"
532,"MSTRG.115"
533,"MSTRG.116"
534,"MSTRG.115"
535,"MSTRG.115"
536,"MSTRG.115"
537,"MSTRG.117"
538,"MSTRG.117"
539,"MSTRG.117"
540,"MSTRG.117"
541,"MSTRG.117"
542,"MSTRG.117"
543,"MSTRG.115"
544,"MSTRG.115"
545,"MSTRG.115"
546,"MSTRG.118"
547,"MSTRG.119"
548,"MSTRG.119"
549,"LOC100996583"
550,"FAM213B"
551,"FAM213B"
552,"FAM213B"
553,"FAM213B"
554,"FAM213B"
555,"FAM213B"
556,"FAM213B"
557,"FAM213B"
558,"MMEL1"
559,"TTC34"
560,"MSTRG.134"
561,"MSTRG.135"
562,"MSTRG.135"
563,"MSTRG.136"
564,"MSTRG.136"
565,"MSTRG.137"
566,"MSTRG.138"
567,"MSTRG.138"
568,"MSTRG.139"
569,"MSTRG.140"
570,"MSTRG.140"
571,"MSTRG.140"
572,"MSTRG.140"
573,"MSTRG.136"
574,"MSTRG.141"
575,"MSTRG.141"
576,"MSTRG.141"
577,"MSTRG.136"
578,"MSTRG.142"
579,"MSTRG.143"
580,"MSTRG.144"
581,"MSTRG.145"
582,"MSTRG.145"
583,"MSTRG.146"
584,"MSTRG.147"
585,"MSTRG.148"
586,"MSTRG.149"
587,"MSTRG.150"
588,"MSTRG.150"
589,"MSTRG.150"
590,"MSTRG.150"
591,"MSTRG.150"
592,"MSTRG.150"
593,"MSTRG.151"
594,"MSTRG.150"
595,"MSTRG.150"
596,"MSTRG.150"
597,"MSTRG.150"
598,"MSTRG.150"
599,"MSTRG.150"
600,"MSTRG.152"
601,"MSTRG.150"
602,"MSTRG.153"
603,"MSTRG.153"
604,"MSTRG.153"
605,"MSTRG.153"
606,"MSTRG.153"
607,"MSTRG.153"
608,"MSTRG.153"
609,"MSTRG.154"
610,"MSTRG.155"
611,"MSTRG.156"
612,"MSTRG.156"
613,"MSTRG.156"
614,"MSTRG.157"
615,"MSTRG.122"
616,"MSTRG.123"
617,"MSTRG.124"
618,"MSTRG.124"
619,"MSTRG.124"
620,"MSTRG.125"
621,"MSTRG.126"
622,"MSTRG.127"
623,"LOC284661"
624,"AJAP1"
625,"AJAP1"
626,"MIR4417"
627,"MIR4689"
628,"MSTRG.131"
629,"MSTRG.131"
630,"MSTRG.131"
631,"MSTRG.131"
632,"MSTRG.131"
633,"MSTRG.131"
634,"MSTRG.132"
635,"MSTRG.132"
636,"MSTRG.132"
637,"MSTRG.132"
638,"MSTRG.132"
639,"MSTRG.132"
640,"MSTRG.132"
641,"MSTRG.132"
642,"MSTRG.132"
643,"MSTRG.132"
644,"MSTRG.133"
645,"RPL22"
646,"LOC102724450"
647,"RNF207"
648,"ICMT"
649,"LINC00337"
650,"MSTRG.128"
651,"MSTRG.129"
652,"MSTRG.129"
653,"MSTRG.130"
654,"MSTRG.158"
655,"MSTRG.158"
656,"MSTRG.158"
657,"MSTRG.158"
658,"MSTRG.159"
659,"MSTRG.160"
660,"MSTRG.158"
661,"MSTRG.158"
662,"MSTRG.158"
663,"MSTRG.158"
664,"MSTRG.161"
665,"MSTRG.161"
666,"MSTRG.161"
667,"MSTRG.161"
668,"MSTRG.162"
669,"MSTRG.161"
