"gene.name","SRR3396381.amphotericin_B","SRR3396382.amphotericin_B","SRR3396384.amphotericin_B","SRR3396385.control","SRR3396386.control","SRR3396387.control","amphotericin_B.average","control.average","amphotericin_B.control.average","fc","log2FC","pval","qval"
"APL4",62.252758,56.228649,58.844891,51.792377,52.493969,54.518528,59.108766,52.934958,56.021862,0.896989525076003,-0.156836957244658,0.0622397790644101,0.149980725681562
"CSR2",7.801023,8.503135,8.001653,6.84121,6.052704,6.819989,8.101937,6.571301,7.336619,0.828570488538138,-0.271303658588938,0.0236960346601762,0.0845162544724051
"NTO1",11.799061,13.967502,15.499417,16.799208,17.64535,16.908791,13.7553266666667,17.117783,15.4365548333333,1.2373650970853,0.307271244889208,0.0898355508789022,0.190789496277728
"CWH43",73.602921,72.06852,69.974762,70.599052,69.632553,72.015228,71.8820676666667,70.7489443333333,71.315506,0.982632622516679,-0.0252759588293906,0.359747892006833,0.507167955172553
"SRO7",14.466688,13.764874,13.946045,14.794918,13.69974,14.643318,14.0592023333333,14.3793253333333,14.2192638333333,1.02078215542638,0.0296750142870353,0.550588146210777,0.67766684504325
"HTS1",196.219421,174.959366,189.128967,158.641724,170.379425,159.949554,186.769251333333,162.990234333333,174.879742833333,0.876650637773773,-0.18992607954848,0.0543818188841857,0.137693444241595
"ARP7",91.125351,92.674248,92.891113,89.002441,95.421883,90.419395,92.2302373333333,91.614573,91.9224051666667,0.993271662049872,-0.0097397428023875,0.805472958096074,0.871908790900699
"GLN1",2736.881592,2766.469238,3361.785889,910.469482,741.383667,952.356689,2955.045573,868.069946,1911.5577595,0.29348643492558,-1.76863427202175,0.00191236739220169,0.0290709256806607
"VMA13",387.702637,391.169281,367.937042,300.466034,306.058716,305.140839,382.269653333333,303.888529666667,343.0790915,0.794019172283414,-0.332754251972195,0.00118149326530603,0.0247732547425068
"SPO24",2611.47876,2604.029297,2323.784668,872.866089,797.084656,861.175049,2513.097575,843.708598,1678.4030865,0.334950930525249,-1.57797833505748,0.000214298925473644,0.0158408343751728
"IRC16",30.0507336506494,28.9055977909091,32.0331792545455,32.9575633207792,30.9268291597403,34.3097395733766,30.3298368987013,32.7313773512987,31.530607125,1.07633170172206,0.106122753250917,0.221454693997507,0.357470116003355
"MED1",31.914557,29.5075,28.464468,26.52199,30.212536,29.064596,29.962175,28.5997073333333,29.2809411666667,0.952490514536336,-0.0702233694200145,0.432194452571877,0.576937669123543
"YPR071W",33.400543,33.291222,34.783661,37.216999,38.603775,37.049686,33.825142,37.6234866666667,35.7243143333333,1.11126413942622,0.152201775635749,0.0101162109806108,0.055064199093386
"UBA3",20.723558,24.553221,19.787975,22.255497,21.963163,21.440557,21.6882513333333,21.8864056666667,21.7873285,1.00827748166426,0.0118927284518647,0.912370701082327,0.943661873696797
"SRD1",28.017248,24.616196,32.75901,29.497532,29.799618,30.05645,28.4641513333333,29.7845333333333,29.1243423333333,1.05882823889012,0.0824685770553765,0.538646077375391,0.668192674664695
"ISA2",118.91317,107.116791,107.823822,96.654068,84.130531,84.454468,111.284594333333,88.4130223333333,99.8488083333333,0.79989380329393,-0.322119619426199,0.0285992975636495,0.0934441585969557
"HOS1",17.265612,18.390369,19.403894,19.879688,19.057337,17.070221,18.3532916666667,18.669082,18.5111868333333,1.02386313811561,0.0340228802226076,0.572328664139888,0.694655462024215
"SPE3",293.328583,289.750702,295.160614,259.17392,287.167267,260.269379,292.746633,268.870188666667,280.808410833333,0.919493847430823,-0.121088173660412,0.110675283483789,0.221444306620443
"NOT5",87.582802,94.179573,90.527756,70.491264,75.866516,77.774284,90.763377,74.710688,82.7370325,0.820377154543852,-0.285640777966233,0.00487600154788681,0.0405409189324502
"LTP1",168.755066,230.801376,181.426056,298.351776,190.987488,169.814651,193.660832666667,219.717971666667,206.689402166667,1.12715155407314,0.172681509840003,0.602532544716642,0.719128780620421
"TKL1",261.092346,231.985138,240.969208,246.084335,290.401123,252.581665,244.682230666667,263.022374333333,253.8523025,1.07594455464154,0.105603735139252,0.372124453734168,0.517919482249421
"OPY2",174.087585,167.649307,176.311676,136.263641,139.78479,149.448334,172.682856,141.832255,157.2575555,0.819464278835271,-0.287247032530798,0.00781677157038729,0.0484402077815156
"YPR076W",32.409752,35.39595,40.878845,30.584845,31.138535,32.469681,36.2281823333333,31.397687,33.8129346666667,0.874368812777654,-0.193686151395192,0.187173343985668,0.319176489130518
"YPR077C",3.47182432070485,4.7881987030837,3.88196364845815,2.46312998325991,2.93241213568282,4.30142523171806,4.0473288907489,3.23232245022026,3.63982567048458,0.808464175086823,-0.306744248918409,0.0468108941316252,0.126341925723121
"MRL1",51.604744,51.930962,50.351761,43.266727,43.037842,43.58075,51.2958223333333,43.2951063333333,47.2954643333333,0.845981992344863,-0.241301140562544,0.000278750162869379,0.0177629585805182
"YCR018C-A",22.875763,24.856831,18.988548,35.049213,23.396935,19.056002,22.2403806666667,25.83405,24.0372153333333,1.14675221705704,0.197553696636451,0.522882711701089,0.654365138235143
"TEF1",5339.164062,4807.583008,5245.46875,5885.767578,6683.254883,5980.806641,5130.73860666667,6183.27636733333,5657.007487,1.2090561298981,0.273881222623354,0.0407228348430816,0.115908827253554
"GRS2",22.678169,26.775795,24.881369,24.414272,25.401165,25.424873,24.7784443333333,25.0801033333333,24.9292738333333,1.00976206550873,0.0140153847095902,0.85939900886147,0.908090170836624
"DIB1",96.055321,87.585815,90.29229,74.556816,71.936577,74.725815,91.311142,73.739736,82.525439,0.810460282044971,-0.303186609083835,0.00860329973721896,0.0505987863520348
"MDM36",19.703043,19.100517,19.536554,16.301001,15.788478,15.048504,19.4467046666667,15.712661,17.5796828333333,0.820481907019821,-0.285456574604292,0.000284378976552091,0.0178097984562495
"YPR084W",34.250507,33.994091,36.184185,30.985928,33.673569,29.668409,34.8095943333333,31.4426353333333,33.1261148333333,0.909821609825059,-0.136344393367053,0.0757695285343176,0.170415312193814
"ASA1",22.012527,22.501257,22.722864,22.460501,25.249405,20.447876,22.412216,22.7192606666667,22.5657383333333,1.01657140719654,0.0237115582127087,0.784677319991212,0.857783150821799
"SUA7",99.678299,114.140541,98.610115,100.841812,105.84201,91.550674,104.142985,99.4114986666667,101.777241833333,0.956899540601611,-0.0635606225098175,0.585538896957166,0.705613698815752
"VPS69",45.896126,49.552402,41.681698,50.895905,44.687645,37.960304,45.7100753333333,44.514618,45.1123466666667,0.97833236163254,-0.0316034303009341,0.839445838140909,0.894802581281266
"SRP54",93.162338,98.026855,97.398018,100.766396,108.692207,102.708443,96.195737,104.055682,100.1257095,1.08042984902548,0.111605402832695,0.093887128306593,0.197309685355972
"YPR089W",37.23666,33.633636,34.977657,34.593998,36.180305,36.375885,35.282651,35.7167293333333,35.4996901666667,1.01199919520373,0.0172081427238745,0.773015478906303,0.849621696496428
"HSP30",18.11622,16.270332,17.946966,24.581984,25.947874,22.313017,17.444506,24.2809583333333,20.8627321666667,1.38144131624834,0.466174277636671,0.0023761566980951,0.0314175793272388
"NVJ2",60.82058,61.785255,59.592182,51.82901,48.388645,52.703598,60.7326723333333,50.973751,55.8532116666667,0.83897833549119,-0.25329453771805,0.00705793030271873,0.0461465891572392
"YPR092W",1.069893,3.716094,2.306509,2.949878,1.286528,2.715597,2.36416533333333,2.31733433333333,2.34074983333333,0.995293088977008,-0.00680666897988546,0.989310358534136,0.992953195146781
"snR51",10.86834,4.394094,9.644009,8.118953,11.192363,14.604934,8.30214766666667,11.3054166666667,9.80378216666667,1.36112280698227,0.444797239532116,0.428423739210108,0.573199743209748
"snR70",28.868824,17.808054,26.316355,34.941696,43.574173,40.261501,24.3310776666667,39.5924566666667,31.9617671666667,1.63947710811144,0.713235757635414,0.0654403079082531,0.155005167829475
"snR41",38.574821,25.940308,32.832195,33.845387,51.546783,52.433987,32.449108,45.9420523333333,39.1955801666667,1.38233067431716,0.467102771393853,0.204730881612496,0.339795727865986
"ASR1",8.754135,10.832964,14.17789,19.170292,20.433498,18.042461,11.2549963333333,19.215417,15.2352066666667,1.69187819455899,0.758625706500863,0.0336381446998203,0.102893074147388
"RDS3",35.056507,48.933132,38.197571,86.215752,55.186481,54.849613,40.72907,65.417282,53.073176,1.58556806663929,0.664999812033443,0.101892591819841,0.209429465843159
"SYT1",23.3326,23.087393,20.057123,17.208265,19.073828,18.100319,22.1590386666667,18.1274706666667,20.1432546666667,0.82328321739065,-0.280539277805007,0.0418064045923292,0.117385891182978
"YPR096C",4.424735,5.483569,5.36673,4.76256,5.494215,5.427733,5.091678,5.22816933333333,5.15992366666667,1.0190623801335,0.0272423662777559,0.813376264612175,0.876471625472398
"YPR097W",16.77043,18.013409,17.278763,22.240808,21.361374,20.713276,17.3542006666667,21.438486,19.3963433333333,1.22463605677078,0.292353065877619,0.00693290187215778,0.0457033198537066
"FUN30",17.773079,17.869289,18.244411,19.433004,24.679064,18.721407,17.9622596666667,20.9444916666667,19.4533756666667,1.15623019757798,0.20942865721754,0.201741917963375,0.336410581789751
"MAK32",30.388372,26.941799,30.409048,28.551336,31.19541,32.451477,29.2464063333333,30.732741,29.9895736666667,1.04749988994406,0.0669500923473762,0.502711564665348,0.63642278988886
"YPR098C",155.031387,165.964401,171.693497,188.097778,151.012482,140.596359,164.229761666667,159.902206333333,162.065984,0.979417196325876,-0.0300045681930756,0.798552499080474,0.867864063944689
"YPR099C",108.641724,80.752312,122.859833,85.914093,110.951706,79.285072,104.084623,92.0502903333333,98.0674566666667,0.907699874334884,-0.139712737220945,0.530819159283239,0.661377528452939
"MRPL51",139.70491,180.160095,146.602493,200.221832,131.834885,157.94606,155.489166,163.334259,159.4117125,1.04093484696869,0.0578797719065448,0.824539318817258,0.883654040228519
"SNT309",64.20034,75.736519,74.486107,88.338371,81.098595,78.34967,71.474322,82.5955453333333,77.0349336666667,1.15965749630318,0.21369876970813,0.119406064581756,0.234477910692964
"RPL11A",1886.434082,1660.120605,1918.756104,2030.449097,2292.688721,2086.829102,1821.77026366667,2136.65564,1979.21295183333,1.17916676439386,0.23776776679131,0.0752355109626156,0.169644946290823
"PRE2",356.671448,413.707733,387.936127,538.195374,424.168488,456.174469,386.105102666667,472.846110333333,429.4756065,1.22359509568669,0.291126229528637,0.121035457333604,0.236684808669107
"FHL1",20.478973,17.354277,18.56687,22.901588,22.531406,21.682344,18.80004,22.3717793333333,20.5859096666667,1.18822693469662,0.248810396993266,0.0367111542002496,0.108461742796125
"COG4",36.400936,36.365383,33.117172,35.142609,36.536861,34.03157,35.294497,35.2370133333333,35.2657551666667,0.998780126757036,-0.00176097938246058,0.978767949366692,0.985862486805251
"RPN7",148.999512,164.046341,163.443329,176.839172,159.524872,174.203995,158.829727333333,170.189346333333,164.509536833333,1.06968221625904,0.0971822609989803,0.280514972426016,0.425789164614088
"ISR1",36.800922,38.880157,37.038212,29.73786,29.543568,32.789001,37.573097,30.690143,34.13162,0.815529690487442,-0.294190693683786,0.000878003609375622,0.0220277965214485
"PET18",28.090439,26.396526,25.532423,16.876572,16.992496,17.603895,26.6731293333333,17.1576543333333,21.9153918333333,0.654772270181387,-0.610934870385792,0.00079733057293363,0.0214854820166564
"YTH1",68.654289,65.109344,69.489288,60.131687,54.665882,57.558205,67.7509736666667,57.4519246666667,62.6014491666667,0.852181558494667,-0.23076726345591,0.0200796524567228,0.0771716360958757
"YPR108W-A",5.45070716901408,7.47773250704225,5.54669245070423,8.87665509859155,4.37599005633803,2.52271538028169,6.15837737558685,5.25845351173709,5.70841544366197,0.836058587871204,-0.258324050344847,0.571036537630325,0.69361563269485
"YPR109W",53.158627,59.163536,54.150635,71.729362,56.070713,54.864925,55.4909326666667,60.8883333333333,58.189633,1.09688328302794,0.133410019856597,0.40110056028567,0.546653782835489
"RPC40",137.506363,121.790421,147.133057,190.148727,192.255096,157.525696,135.476613666667,179.976506333333,157.72656,1.34540854793087,0.428044329342782,0.0016251511051163,0.0277877731987015
"DBF20",32.626019,28.439413,30.933147,21.922741,21.433094,24.825689,30.666193,22.7271746666667,26.6966838333333,0.74589957931602,-0.422946681799237,0.0188044408147489,0.0741864892584412
"MRD1",13.700303,8.998237,15.605795,29.472692,33.033649,20.821321,12.7681116666667,27.7758873333333,20.2719995,2.17427968152907,1.12053752877495,0.00582489256352581,0.0431967478517015
"PIS1",353.716248,377.851746,363.888,478.893677,449.023926,413.380066,365.151998,447.099223,406.1256105,1.22887407850159,0.297337091765441,0.0163752454803425,0.0691893459275218
"YPR114W",118.289589,114.349251,114.394951,135.089645,128.870789,123.257729,115.677930333333,129.072721,122.375325666667,1.11887846424125,0.162053335189193,0.0127777722816735,0.0613108139202575
"RGC1",38.153965,37.541142,33.577682,31.46385,30.224886,32.529362,36.424263,31.4060326666667,33.9151478333333,0.862367448246933,-0.213625373127014,0.0352208129772555,0.105454119801356
"RRG8",0.95047,2.588829,2.319462,2.365391,2.799918,2.552752,1.95292033333333,2.572687,2.26280366666667,1.24417417493654,0.315188465956973,0.401050441629494,0.546653782835489
"MAK31",79.262527,102.833229,89.083679,147.889145,120.731728,81.792305,90.393145,116.804392666667,103.598768833333,1.28945896035655,0.366765857165688,0.221143943421969,0.35732948632729
"YPR117W",8.008488,7.432408,6.847533,7.896213,7.563953,6.899887,7.42947633333333,7.453351,7.44141366666667,1.00723781668702,0.0104043550903665,0.906509700376397,0.940206973008565
"MRI1",89.088051,79.691139,84.00132,95.816071,105.317726,91.661606,84.26017,97.5984676666667,90.9293188333333,1.16217028582357,0.216821473659832,0.0554041600431341,0.139583818779129
"CLB2",58.967606,56.917522,61.839897,66.325531,67.847618,75.829552,59.241675,70.0009003333333,64.6212876666667,1.17212946550264,0.229131928909523,0.0449895755347284,0.12300969205811
"CLB5",24.393829,23.261614,25.583588,34.409462,35.057266,28.920473,24.4130103333333,32.7957336666667,28.604372,1.34199358838679,0.424377778822235,0.00101790897701193,0.0232480356343619
"tC(GCA)P2",5.21275,2.748704,2.864941,5.750044,0.460034,1.428617,3.60879833333333,2.54623166666667,3.077515,0.664239472803553,-0.59022463653659,0.488566676320207,0.624431385947936
"THI22",16.440742,14.784963,14.085363,14.218745,15.540591,17.106623,15.1036893333333,15.6219863333333,15.3628378333333,1.02246262955181,0.0320481144183409,0.712792570831376,0.806185915972225
"AXL1",21.689463,18.803905,19.503969,19.415375,20.511028,21.76528,19.9991123333333,20.5638943333333,20.2815033333333,1.02392566295536,0.0341109794213343,0.69963725251902,0.796135068818609
"YPR123C",7.22488,9.836788,5.41055,17.356968,7.640242,9.121946,7.49073933333333,11.373052,9.43189566666667,1.41777950948726,0.503633184690811,0.352106654446927,0.499975928684707
"CTR1",22.674089,31.434584,16.916683,32.281994,31.637909,27.835941,23.6751186666667,30.5852813333333,27.1302,1.30304932534484,0.38189169640299,0.272098083424127,0.416582224503519
"HTL1",112.791954,169.689545,177.88269,233.063538,153.440201,146.051163,153.454729666667,177.518300666667,165.486515166667,1.1732155943198,0.230468152561339,0.506476319036866,0.639816386633987
