"gene.name","SRR975587.metastasized_cancer","SRR975588.metastasized_cancer","SRR975589.metastasized_cancer","SRR975591.metastasized_cancer","SRR975593.metastasized_cancer","SRR975598.metastasized_cancer","SRR975599.metastasized_cancer","SRR975601.metastasized_cancer","SRR975603.metastasized_cancer","SRR975604.metastasized_cancer","SRR975569.normal_colon","SRR975572.normal_colon","SRR975574.normal_colon","SRR975575.normal_colon","SRR975576.normal_colon","SRR975577.normal_colon","SRR975580.normal_colon","SRR975582.normal_colon","SRR975585.normal_colon","SRR975586.normal_colon","metastasized_cancer.average","normal_colon.average","metastasized_cancer.normal_colon.average","baseMean","log2FC","lfcSE","stat","pval","padj"
"NAGS",17.3238126049291,0,0,0,0,0,9.35735902304542,25.2085625657802,1.54131011437188,0,0,0,0,0,0,0,0,0,0,0,5.34310443081266,0,2.67155221540633,2.67155221540633,4.84093079873166,2.22425717815965,2.17642584062021,0.0295234333195965,0.0880457114355152
"CEP164",0,8.14892441219997,2.40807000810648,0,0,0,0,0,0,0,20.945937977831,19.7019193161556,0,11.7303779619928,15.6085481599795,5.52557887027989,0,9.27190871304306,7.53224515811058,13.64572341484,1.05569944203064,10.3962239572232,5.72596169962695,5.72596169962695,-3.22567012768401,1.10434408822789,-2.92089228535659,0.00349030478367916,0.0160340707985249
"FCRL1",764.983093449239,4.07446220609998,729.645212456264,5240.5765874559,1063.11224315017,558.810493118073,149.717744368727,4312.85624766717,1604.50382906113,2448.18289523035,12.2184638204014,0,3.15641400907433,4.51168383153569,5.20284938665983,12.1562735146158,0,3.09063623768102,0,10.23429256113,1687.64628081631,5.05706133610981,846.351671076211,846.351671076211,8.38416155156899,0.784588311237031,10.6860648208613,1.1828379390959e-26,3.39697913464576e-24
"POMT1",10.9413553294289,3.25956976487999,4.0134500135108,7.37719737808326,5.99358558506087,5.39392367874588,0,1.09602445938175,2.31196517155783,0,11.3457164046585,25.6124951110023,2.10427600604956,13.5350514946071,7.28398914132376,13.2613892886717,7.46560035081792,3.09063623768102,4.70765322381911,5.68571808951669,4.03870713806493,9.40925253481476,6.72397983643985,6.72397983643985,-1.1787549846162,0.556945843286465,-2.11646248701763,0.0343054924259967,0.0991051819307854
"CTNNB1",6.38245727550021,0,8.02690002702161,15.6765444284269,18.7299549533152,17.2605557719868,23.3933975576136,3.28807337814524,7.70655057185942,3.48992572377811,0,1.97019193161556,5.26069001512389,2.70701029892141,0,4.42046309622391,9.59862902248018,0,6.59071451334676,6.82286170742002,10.3954359687647,3.73705605851317,7.06624601363894,7.06624601363894,1.46361743330039,0.694950535103558,2.10607425905829,0.0351979023999838,0.101212737126763
"LTBP4",0,4.07446220609998,0,1.84429934452081,0,3.23635420724753,4.67867951152271,0,3.08262022874377,0,5.23648449445775,3.94038386323113,5.26069001512389,4.51168383153569,2.08113975466393,8.84092619244782,2.13302867166226,3.09063623768102,12.2398983819297,0,1.69164154981348,4.73348714427332,3.2125643470434,3.2125643470434,-1.58937211084971,0.775209847931462,-2.05024757501563,0.0403402775718817,0.112855845264685
"BLVRB",0,0.814892441219997,0,0,0,3.23635420724753,0,0,0,0,0,0.985095965807782,3.15641400907433,0.902336766307138,1.04056987733197,2.21023154811196,2.13302867166226,2.06042415845401,1.88306128952765,3.41143085371001,0.405124664846752,1.77825931399871,1.09169198942273,1.09169198942273,-2.13485541815145,1.02879802814162,-2.07509672428879,0.0379775712753498,0.107638864428523
"SERTAD1",0,2.44467732365999,2.40807000810648,0,0,6.47270841449505,0,0,0,0,7.85472674168662,12.8062475555012,6.31282801814867,9.02336766307138,28.0953866879631,16.5767366108397,9.59862902248018,6.18127247536204,1.88306128952765,50.0343191877468,1.13254557462615,14.8366575252327,7.98460154992944,7.98460154992944,-3.69394746993432,0.82330567447869,-4.48672660038848,7.23257879964394e-06,8.78892638619638e-05
"ADAP2",0,1.62978488243999,0,0,2.24759459439783,5.39392367874588,0,0,5.3945854003016,0,6.98197932594366,2.95528789742335,5.26069001512389,2.70701029892141,4.16227950932786,11.0511577405598,14.9312007016358,2.06042415845401,5.64918386858294,13.64572341484,1.46658885558853,6.94049369308128,4.2035412743349,4.2035412743349,-2.17457608883403,0.742468874379424,-2.92884478241812,0.00340224271966236,0.0157172060009139
"ATAD5",11.8531349402147,26.8914505602599,2.40807000810648,2.76644901678122,2.99679279253044,20.4969099792343,21.0540578018522,5.48012229690873,15.4131011437188,7.85233287850076,15.7094534833732,31.523070905849,6.31282801814867,18.0467353261428,18.7302577919754,23.2074312551755,50.1261737840632,16.4833932676321,17.8890822505126,32.9771649191968,11.7212421418108,23.1005591002069,17.4109006210088,17.4109006210088,-1.00186600739116,0.45136542316969,-2.21963392843786,0.0264436272104199,0.0808479338192244
